13289\REHOBOTH BUSINESS SERVICES SARL\CONSTRUCTION\CD/ISIRO/RCCM/13-B-111927/2023\WATSA    -    Haut-Uele\DURBA CENTRE , Q/ LE BRUN , T/ WATSA , P/ HAUT -UELE\+243824276163\bienvenuesimiyo@gmail.com\15-04-2025
13515\ALAMA SERVICES ET CONSTRUCTION SARL\CONSTRUCTIONS, GÉNIE CIVILS, CATERING ET GESTION DU PERSONNEL\CD/LSH/RCCM/25-B-00024\LUBUMBASHI    -    Haut-Katanga\762, AV. LUPUNGU, Q/ KALUBWE, C/ ET V/ LUBUMBASHI, P/ HAUT-KATANGA\+243858861915\alimaservicesetconstruction@gmail.com\15-04-2025
2822\ENTREPRISE COMMERCIALE MINIERE AGRICOLE ET SECURITE SARL\COMMERCE GENERAL, FOURNITURE DES BIENS ET SERVICES\CD/L'SHI/RCCM/15-B-3897\LUBUMBASHI    -    Haut-Katanga\57, AV/MWEPU, C/ ET V/ LUBUMBASHI, P/ HAUT-KATANGA\+243814151140\masumbadieudonne@gmail.com\15-04-2025
13298\MERENZA COMPANY SARL\SERVICES\CD/LSH/RCCM/25-B-00058\LUBUMBASHI    -    Haut-Katanga\4933, AV/REVOLUTION, Q/ GAMBELA, C/ ET V/ LUBUMBASHI, P/ HAUT-KATANGA\0991818464\companymerenza@gmail.com\15-04-2025
13297\ORION SECURITY SARL\SECURITE\CD/LSH/RCCM/25-B-00221\LUBUMBASHI    -    Haut-Katanga\102, AV. SENDWE, Q/ MAKUTANO, C/ ET V/ LUBUMBASHI, P/ HAUT-KATANGA\0999925493\dkilolo82@gmail.com\15-04-2025
13517\SECURITY PLUS SARL\PRESTATION DES SERVICES, SECURITE\CD/LSH/RCCM/25-B-00417\LUBUMBASHI    -    Haut-Katanga\07, AV. KYAPI, Q/ GAMBELA 2, C/ ET V/ LUBUMBASHI, P/ HAUT-KATANGA\0893142370\c.nsenga2014@gmail.com\15-04-2025
13518\AKYA CONGO SARL\SERVICES\CD/LSH/RCCM/25-B-00408\LUBUMBASHI    -    Haut-Katanga\07, AV. KYAPI, Q/ GAMBELA 2, C/ ET V/ LUBUMBASHI, P/ HAUT-KATANGA\0893142370\c.nsenga2014@gmail.com\15-04-2025
13318\RUNNING PROFESSIONAL SERVICES SARL\SERVICES\CD/LSH/RCCM/24-B-02266\LUBUMBASHI    -    Haut-Katanga\1 AV. DE LA BORNE, Q/HEWA-BORA, C/KAPEMBA, V/LUBUMBASHI, P/HAUT-KATANGA\0993375083\shekinahsungu@gmail.com\15-04-2025
13286\NUMBER ONE EXCELLENCE SERVICES SARL\FOURNITURES DES BIENS ET SERVICES\CD/KNG/RCCM/24-B-00566\KINSHASA    -    Kinshasa\06, AV. MILTANT, Q/ FUNA, C/ BARUMBU , V/ ET P/ KINSHASA\+243833180480\omerbobanda84@gmail.com\15-04-2025
13292\MWINDA MINING SARL\SERVICES\CD/KNG/RCCM/24-B-04486\KINSHASA    -    Kinshasa\5 KIGOMA, PLC, C/LINGWALA V/ ET P/ KINSHASA\0810656763\kallekabongo3@gmail.com\15-04-2025
